metric,i,rtt_ms
ack,423,0.2303
ack,424,0.2986
ack,425,0.2403
ack,426,0.2430
ack,427,0.2589
ack,428,0.2622
ack,429,0.2420
ack,430,0.2634
ack,431,0.2283
ack,432,0.2424
ack,433,0.2463
ack,434,0.2414
ack,435,0.2430
ack,436,0.2470
ack,437,0.3209
ack,438,0.2456
ack,439,0.2429
ack,440,0.2366
ack,441,0.2555
ack,442,0.2543
ack,443,0.2320
ack,444,0.2551
ack,445,0.2332
ack,446,0.2142
ack,447,0.2591
ack,448,0.2399
ack,449,0.2328
ack,450,0.2419
ack,451,0.2377
ack,452,0.2495
ack,453,0.3036
ack,454,0.2435
ack,455,0.2466
ack,456,0.2417
ack,457,0.2241
ack,458,0.4370
ack,459,0.3635
ack,460,0.2350
ack,461,0.2415
ack,462,0.3273
ack,463,0.2800
ack,464,0.2747
ack,465,0.3041
ack,466,0.2853
ack,467,0.3497
ack,468,0.2918
ack,469,0.2479
ack,470,0.2539
ack,471,0.2407
ack,472,0.2384
ack,473,0.2804
ack,474,0.2470
ack,475,0.2548
ack,476,0.2691
ack,477,0.2094
ack,478,0.1986
ack,479,0.3350
ack,480,0.2385
ack,481,0.2682
ack,482,0.2237
ack,483,0.2779
ack,484,0.2783
ack,485,0.2376
ack,486,0.2661
ack,487,0.2646
ack,488,0.2590
ack,489,0.2973
ack,490,0.3052
ack,491,0.2526
ack,492,0.2632
ack,493,0.2472
ack,494,0.2339
ack,495,0.2687
ack,496,0.2240
ack,497,0.2611
ack,498,0.2348
ack,499,0.2498
ack,500,0.2605
ack,501,0.2708
ack,502,0.2418
ack,503,0.3047
ack,504,0.2741
ack,505,0.2466
ack,506,0.2612
ack,507,0.2729
ack,508,0.2292
ack,509,0.2395
ack,510,0.2330
ack,511,0.2592
ack,512,0.2999
ack,513,0.2583
ack,514,0.2316
ack,515,0.2460
ack,516,0.2366
ack,517,0.2410
ack,518,0.2504
ack,519,0.2347
ack,520,0.2290
ack,521,0.2396
ack,522,0.2653
ack,523,0.2389
ack,524,0.2380
ack,525,0.2518
ack,526,0.2515
ack,527,0.2517
ack,528,0.2558
ack,529,0.2409
ack,530,0.2328
ack,531,0.2225
ack,532,0.2440
ack,533,0.2299
ack,534,0.2411
ack,535,0.2248
ack,536,0.2324
ack,537,0.2347
ack,538,0.2515
ack,539,0.2424
ack,540,0.2239
ack,541,0.2249
ack,542,0.2575
ack,543,0.2411
ack,544,0.2496
ack,545,0.2360
ack,546,0.2292
ack,547,0.2292
ack,548,0.2294
ack,549,0.2390
ack,550,0.2621
ack,551,0.2288
ack,552,0.2317
ack,553,0.2513
ack,554,0.2517
ack,555,0.2378
ack,556,0.2229
ack,557,0.2347
ack,558,0.2319
ack,559,0.2406
ack,560,0.2902
ack,561,0.2427
ack,562,0.2545
ack,563,0.2420
ack,564,0.2435
ack,565,0.2453
ack,566,0.2663
ack,567,0.2362
ack,568,0.2281
ack,569,0.2520
ack,570,0.2390
ack,571,0.2234
ack,572,0.2500
ack,573,0.2378
ack,574,0.2473
ack,575,0.2409
ack,576,0.4440
ack,577,0.3199
ack,578,0.2640
ack,579,0.2502
ack,580,0.2542
ack,581,0.2667
ack,582,0.2753
ack,583,0.2572
ack,584,0.2833
ack,585,0.3073
ack,586,0.2534
ack,587,0.2355
ack,588,0.2973
ack,589,0.2741
ack,590,0.2960
ack,591,0.5486
ack,592,0.2525
ack,593,0.2709
ack,594,0.3014
ack,595,0.2445
ack,596,0.2695
ack,597,0.2397
ack,598,0.2464
ack,599,0.2649
ack,600,0.5796
ack,601,0.6673
ack,602,0.6786
ack,603,0.6864
ack,604,0.3213
ack,605,0.2433
ack,606,0.2375
ack,607,0.2203
ack,608,0.2565
ack,609,0.5624
ack,610,0.8354
ack,611,0.6652
ack,612,0.6623
ack,613,0.6661
ack,614,0.3333
ack,615,0.2332
ack,616,0.2217
ack,617,0.2499
ack,618,0.2111
ack,619,0.2238
ack,620,0.2329
ack,621,0.2205
ack,622,0.2257
ack,623,0.2030
ack,624,0.2524
ack,625,0.2207
ack,626,0.2090
ack,627,0.2206
ack,628,0.2241
ack,629,0.5617
ack,630,0.6465
ack,631,0.6625
ack,632,0.6669
ack,633,0.6746
ack,634,0.3264
ack,635,0.2416
ack,636,0.2440
ack,637,0.2248
ack,638,0.2158
ack,639,0.5714
ack,640,0.6697
ack,641,0.6806
ack,642,0.6634
ack,643,0.6779
ack,644,0.3170
ack,645,0.2316
ack,646,0.2146
ack,647,0.2044
ack,648,0.2291
ack,649,0.5908
ack,650,0.6676
ack,651,0.6806
ack,652,0.6918
ack,653,0.3505
ack,654,0.2471
ack,655,0.2334
ack,656,0.2230
ack,657,0.2233
ack,658,0.2111
ack,659,0.5737
ack,660,0.3647
ack,661,0.2844
ack,662,0.2308
ack,663,0.2682
ack,664,0.2548
ack,665,0.2401
ack,666,0.2344
ack,667,0.3365
ack,668,0.2556
ack,669,0.2489
ack,670,0.2286
ack,671,0.6620
ack,672,0.6709
ack,673,0.6591
ack,674,0.6375
ack,675,0.6823
ack,676,0.3133
ack,677,0.2348
ack,678,0.2099
ack,679,0.2406
ack,680,0.2413
ack,681,0.2936
ack,682,0.5783
ack,683,0.6590
ack,684,0.6734
ack,685,0.3124
ack,686,0.3000
ack,687,0.2434
ack,688,0.2293
ack,689,0.2400
ack,690,0.2457
ack,691,0.3074
ack,692,0.2587
ack,693,0.2500
ack,694,0.2589
ack,695,0.2968
ack,696,0.2590
ack,697,0.2331
ack,698,0.2807
ack,699,0.2388
ack,700,0.2262
ack,701,0.2415
ack,702,0.2412
ack,703,0.2463
ack,704,0.2424
ack,705,0.2304
ack,706,0.2390
ack,707,0.2474
ack,708,0.2402
ack,709,0.2469
ack,710,0.2581
ack,711,0.2484
ack,712,0.2552
ack,713,0.2995
ack,714,0.2583
ack,715,0.2370
ack,716,0.2754
ack,717,0.2270
ack,718,0.2541
ack,719,0.2575
ack,720,0.2367
ack,721,0.2467
ack,722,0.2442
ack,723,0.2377
ack,724,0.2408
ack,725,0.2970
ack,726,0.2388
ack,727,0.2648
ack,728,0.2760
ack,729,0.2486
ack,730,0.2525
ack,731,0.2284
ack,732,0.2317
ack,733,0.2330
ack,734,0.2563
ack,735,0.2430
ack,736,0.2284
ack,737,0.2413
ack,738,0.2406
ack,739,0.2491
ack,740,0.2505
ack,741,0.2396
ack,742,0.2224
ack,743,0.2483
ack,744,0.2617
ack,745,0.2729
ack,746,0.2610
ack,747,0.2688
ack,748,0.2310
ack,749,0.2639
ack,750,0.2367
ack,751,0.2344
ack,752,0.2357
ack,753,0.2317
ack,754,0.2410
ack,755,0.2458
